date,day,day_suffix,day_of_week,day_of_year,week_of_year,week_of_month,month,month_name,quarter,quarter_name,year
19000101,01,Mon,1,1,1,1,01,January,1,Q1,1900
19000102,02,Tue,2,2,1,1,01,January,1,Q1,1900
19000103,03,Wed,3,3,1,1,01,January,1,Q1,1900
19000104,04,Thu,4,4,1,2,01,January,1,Q1,1900
19000105,05,Fri,5,5,1,2,01,January,1,Q1,1900
19000106,06,Sat,6,6,1,2,01,January,1,Q1,1900
19000107,07,Sun,0,7,1,3,01,January,1,Q1,1900
19000108,08,Mon,1,8,2,3,01,January,1,Q1,1900
19000109,09,Tue,2,9,2,3,01,January,1,Q1,1900
19000110,10,Wed,3,10,2,4,01,January,1,Q1,1900
19000111,11,Thu,4,11,2,4,01,January,1,Q1,1900
19000112,12,Fri,5,12,2,4,01,January,1,Q1,1900
19000113,13,Sat,6,13,2,5,01,January,1,Q1,1900
19000114,14,Sun,0,14,2,5,01,January,1,Q1,1900
19000115,15,Mon,1,15,3,5,01,January,1,Q1,1900
19000116,16,Tue,2,16,3,6,01,January,1,Q1,1900
19000117,17,Wed,3,17,3,6,01,January,1,Q1,1900
19000118,18,Thu,4,18,3,6,01,January,1,Q1,1900
19000119,19,Fri,5,19,3,7,01,January,1,Q1,1900
19000120,20,Sat,6,20,3,7,01,January,1,Q1,1900
19000121,21,Sun,0,21,3,7,01,January,1,Q1,1900
19000122,22,Mon,1,22,4,8,01,January,1,Q1,1900
19000123,23,Tue,2,23,4,8,01,January,1,Q1,1900
19000124,24,Wed,3,24,4,8,01,January,1,Q1,1900
19000125,25,Thu,4,25,4,9,01,January,1,Q1,1900
19000126,26,Fri,5,26,4,9,01,January,1,Q1,1900
19000127,27,Sat,6,27,4,9,01,January,1,Q1,1900
19000128,28,Sun,0,28,4,10,01,January,1,Q1,1900
19000129,29,Mon,1,29,5,10,01,January,1,Q1,1900
19000130,30,Tue,2,30,5,10,01,January,1,Q1,1900
19000131,31,Wed,3,31,5,11,01,January,1,Q1,1900
19000201,01,Thu,4,1,5,1,02,February,1,Q1,1900
19000202,02,Fri,5,2,5,1,02,February,1,Q1,1900
19000203,03,Sat,6,3,5,1,02,February,1,Q1,1900
19000204,04,Sun,0,4,5,2,02,February,1,Q1,1900
19000205,05,Mon,1,5,6,2,02,February,1,Q1,1900
19000206,06,Tue,2,6,6,2,02,February,1,Q1,1900
